family,genus,Checked,Changed,subgenus,refgenus,species,origin,extin,duration,ref,ancestor,,range,w,mtheta,lw,lh,ic1,ic2,ic3,fcirc,t,numcham,expans,height,length,fcangle,area,fcarea,clava,chamwl,keel,bidors,biven,biconvex,lobe,double,depth
Truncorotaloididae,Acarinina,Y,,,2,pseudosubsphaerica,50.4,42.3,8.1,1153,264,,8.1,3.03852373546359,69.0533333333333,0.774326526699262,0.991529585072428,74.2,69.14,63.82,92.6732271438099,110.52,6,1.26890891133394,242.31,244.38,90,69395.62,0.248602001106122,1.0659950839776,0.983587837672192,0.909289301375434,90,90,1,0.912386544628829,0,3
Truncorotaloididae,Acarinina,Y,,,2,boudreauxi,50.2,43.9,6.3,1148,570,,6.3,1.50937507488391,83.6966666666667,1.13946598807399,1.35109209637469,102.61,79.09,69.39,82.4728630353149,171.2,4,1.09501281431294,222.05,300.01,52.8,61390.43,0.306338137719511,1.0985463565537,1.2899795388216,0.85682622916512,11.11,56.18,0.197757208971164,0.918049032845171,0,3
Truncorotaloididae,Acarinina,Y,,,2,cuneicamerata,50.8,44.8,6,341,1147,,6,1.66,58.338,1.173,1.395,44.821,48.308,81.885,91.1,158,5.25,1.054,265.112,381,72.959,107444.75,0.334380414119815,1.21918596968202,1.00512160964642,0.945916539022781,58.79,25.58,2.2982799061767,0.825766265310432,0,3
Truncorotaloididae,Acarinina,Y,,,2,angulosa,55.6,49,6.6,1147,615,,6.6,1.21751514853591,82.9,0.967199051295637,1.35370978564113,105.61,77.63,65.46,90.5665664390809,137.9,4,1.05061191624637,283.17,383.33,90,118811.95,0.289376699902661,1.34780122382522,1.0202189821098,0.925609722222222,21.7,86.79,0.250028805161885,0.86450365598904,0,3
Truncorotaloididae,Acarinina,Y,,,2,soldadoensis,56.6,49,7.6,615,477,,7.5,1.566,88.583,1.211,1.381,82.134,86.196,97.419,92.5,128,4,1.117,274.32,381,83.251,99963.23,0.411421379641294,1.25426491992431,1.11056442942765,0.936451123908669,50.46,23.6,2.13813559322034,0.839066994672504,0,3
Truncorotaloididae,Acarinina,Y,,,2,pentacamerata,52.3,49.2,3.09999999999999,297,426,,3.09999999999999,1.023,63.381,1.192,1.291,52.075,49.842,88.225,93.5,133,5,0.994,371.441,491.613,80.92,160831.02,0.279554590899193,1.24312078154168,1.02378429865887,0.941175315136416,90,90,1,0.913369059138535,0,3
Truncorotaloididae,Acarinina,Y,,,2,alticonica,53.2,49.2,4,264,615,,4,1.602,93.327,1.091,1.208,81.224,104.707,94.049,94.5,137,4,1.115,266.357,324.022,80.223,87796.83,0.344755955311826,1.09181184884744,1.28346986556933,0.914671594470929,90,90,1,0.90816532671349,0,3
Truncorotaloididae,Acarinina,Y,,,2,pseudotopilensis,55.5,49.3,6.2,570,681,,6.2,2.182,84.023,1.19,1.405,88.603,82.669,80.797,92.8,142,4.25,1.195,193.04,280.67,79.729,69358.36,0.389447068817659,1.28548624430119,1.10732932374736,0.944972579013132,90,90,1,0.905392109820533,0,3
Truncorotaloididae,Acarinina,Y,,,2,aspensis,50.4,49.8,0.600000000000001,271,297,,0.600000000000001,1.165,46.553,1.238,1.488,44.625,47.451,47.583,97.2,160,6.25,1.019,269.24,404.707,87.084,100887.25,0.225343043843499,1.15144048801163,0.863045915344007,0.949795013670129,90,90,1,0.871115461377341,0,3
Truncorotaloididae,Acarinina,Y,,,2,coalingensis,56.6,50,6.6,662,230,,6.5,2.426,87.337,1.095,1.264,87.935,86.121,87.955,92.2,155,3.75,1.239,333.963,442.148,70.25,65241.9,0.437882710344119,1.37959608195203,1.23655020015208,0.933498440101709,90,90,1,0.857043452584517,0,3
Truncorotaloididae,Acarinina,Y,,,2,interposita,54,50.4,3.6,426,615,,3.6,1.43,103.741,1.176,1.613,108.594,91.851,110.777,95.8,148,5,1.1,204.651,336.731,87.608,115058.17,0.302970749491323,1.19561443548196,1.20296416009724,0.945991585827406,70.91,23.8,2.97941176470588,0.908833074298576,0,3
Truncorotaloididae,Acarinina,Y,,,2,quetra,54.2,50.4,3.8,582,570,,3.8,3.363,78.03,1.204,1.439,97.949,61.213,74.93,88.8,154,4,1.322,245.806,371.987,74.024,186118.41,0.410178230084815,1.28143288456012,1.10954815010536,0.967437402295621,73.6,10.47,7.02960840496657,0.877092235099076,0,3
Truncorotaloididae,Acarinina,Y,,,2,esnehensis,55.6,50.4,5.2,366,615,,5.2,2.525,54.709,1.075,1.108,56.132,66.285,41.71,96.4,156,5.75,1.156,259.08,297.18,75.169,58494.94,0.304870643512071,1.14689778886473,0.924991262062604,0.946249069974624,82.61,39.08,2.11386898669396,0.896465532644448,0,3
Truncorotaloididae,Acarinina,Y,,,2,wilcoxensis,55.6,50.9,4.7,681,1150,,4.7,1.71,87.625,1.255,1.696,67.824,96.648,98.403,94.9,149,4,1.143,277.283,488.95,72.568,73975.34,0.386309275496402,1.36518513508996,1.03864618889098,0.972752829206129,90,90,1,0.809910925648605,0,3
Truncorotaloididae,Acarinina,Y,,,2,esnaensis,56.2,51.4,4.8,1150,230,,4.8,1.54031624012047,81.28,1.14454540940464,1.49714211483502,85.87,74.01,83.96,63.1251715058316,160.82,4,1.101217755408,153.96,230.5,57.59,32166.37,0.314548393244249,1.3217288332251,1.06837421429765,0.919907774335327,22.53,89.88,0.250667556742323,0.783316303185245,0,3
Truncorotaloididae,Acarinina,Y,,,2,subsphaerica,59.8,54.1,5.7,632,230,,5.1,1.464,78.405,1.207,1.205,67.085,66.943,101.187,93.8,134,4,1.097,229.286,278.714,69.934,70911.08,0.249624177208978,1.08713028978792,1.08614804671887,0.940019652904579,90,90,1,0.950785863792618,0,3
Truncorotaloididae,Acarinina,Y,,,2,africana,55.5,55.3,0.200000000000003,240,1214,,0.200000000000003,2.626,74.136,1.153,1.513,66.081,78.362,77.966,88.6,138,5,1.219,161.431,250.613,63.095,72525.73,0.453804187837889,1.77014026887219,0.735043591763854,0.992389836975708,90,90,1,0.697915729882808,0,3
Truncorotaloididae,Acarinina,Y,,,2,sibaiyaensis,55.5,55.3,0.200000000000003,1214,366,,0.200000000000003,5.84134212762679,65.8133333333333,1.19309916622317,1.970361328125,64.46,64.89,68.09,60.432048090307,172.5,5,1.37830194638311,403.53,204.8,90,97196.21,0.359180157333295,1.41532005868184,0.792494559101304,0.949500271424153,90,89.77,1.0025621031525,0.556842711358242,0,3
Truncorotaloididae,Acarinina,Y,,,2,mckannai,58.8,56.95,1.84999999999999,477,230,,2.8,1.423,56.047,1.181,1.072,44.552,53.058,70.532,88.6,110,5.75,1.003,284.747,307.474,76.31,67578.12,0.274405088510897,1.13475906934489,0.978574689745867,0.927152503040555,90,90,1,0.865023496780989,0,3
Truncorotaloididae,Acarinina,Y,,,2,nitida,59.8,56.95,2.84999999999999,230,1190,,3.7,1.48,78.176,1.031,1.293,65.838,54.376,114.315,92.3,157,4,1.088,225.089,311.821,76.394,23944.42,0.215364164176873,1.21273876819923,0.9995555017226,0.932719608824915,90,90,1,0.867899423363653,0,3
